uri,name,iso_nn6_nc2_1,iso_nn6_nc2_2,se_nn6_nc2_1,se_nn6_nc2_2,km_nn6_nc2,iso_nn9_nc3_1,iso_nn9_nc3_2,iso_nn9_nc3_3,se_nn9_nc3_1,se_nn9_nc3_2,se_nn9_nc3_3,km_nn9_nc3
spotify:artist:7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield,3.168073633,0.657961936,0.023153487,-0.016267906,0,0.227395712,0.27688243,0.309276128,0.023153487,-0.016267906,0.019709206,0
spotify:artist:7oHzn7edwmrYClrPRINkbn,Johnny Gill,-3.950764015,4.627056707,0.017635305,-0.003796729,6,6.837750196,-0.314407488,4.024123523,0.017635305,-0.003796729,-0.005072053,6
spotify:artist:7ohSq6OUvkH1hkslgXfGMi,The Deele,0.959689965,0.476353694,0.015500849,-0.004430861,5,0.345918021,-0.704143595,1.686671491,0.015500849,-0.004430861,-0.008704926,5
spotify:artist:7peqq4aACFkBwIWGG0YRJ9,Monifah,-0.86933994,-0.168050318,0.019028814,-0.004765341,5,0.070220603,-0.760712125,2.143228913,0.019028814,-0.004765341,-0.002531909,5
spotify:artist:7r8RF1tN2A4CiGEplkp1oP,Ginuwine,1.341251471,0.71211946,0.018836921,-0.00432724,5,-0.382050621,-0.778409027,1.73466053,0.018836921,-0.00432724,-0.003267912,5
spotify:artist:7tLLSEaHMMJPbsYAz8MkEw,Blue Magic,-0.956763837,-0.397990014,0.010812715,-0.005476967,0,-0.380016603,-0.344589023,-0.147991018,0.010812715,-0.005476967,-0.015547158,0
spotify:artist:7tNLRmiAN8hpmFrbIHiHsy,Patty Griffin,-1.134328985,-0.802321128,-0.013142012,0.001606988,0,-0.566876707,-0.115966709,-0.835155253,-0.013142012,0.001606988,0.053692189,0
spotify:artist:7uhvDINTTiD0XBrP9fquN1,The Hooters,-0.696006291,-0.391489292,-0.011136402,0.000572629,0,-0.215677108,-0.160771636,-0.314599833,-0.011136402,0.000572629,-0.003135942,0
spotify:artist:7uwPrVdjss0FyCCTzpLx5A,The Tony Rich Project,-0.739463145,0.015466442,0.018553248,-0.003916465,0,0.296003668,-0.177785629,0.770664334,0.018553248,-0.003916465,-0.003626932,0
spotify:artist:7vRMMs8yrKf4PKUpUllMkr,Mary Jane Girls,1.305747849,0.573282732,0.011515358,-0.005411851,0,-0.741490615,-0.106267109,0.498322471,0.011515358,-0.005411851,-0.014860285,0
spotify:artist:7vWlb4pM85jCHvV771qZZW,Tony! Toni! Toné!,-2.620500822,3.226130508,0.018212912,-0.00341327,1,4.610520199,0.281023451,1.287525711,0.018212912,-0.00341327,-0.003963504,1
spotify:artist:7xAcVHPiirnUqfdqo0USb1,Fantasia,1.49127079,-0.346759985,0.01964541,-0.006023801,5,-1.417954236,-1.373923275,1.414856722,0.01964541,-0.006023801,-0.000681659,5
spotify:artist:7xO0qIeS2GUpnI6nFz041C,Shooting Star,-0.661743004,-0.211084977,-0.011892107,0.000737127,0,-0.493099426,0.955367664,0.048677134,-0.011892107,0.000737127,-0.003941064,0
spotify:artist:7xkAwz0bQTGDSbkofyQt3U,Belinda Carlisle,-3.594395191,2.011518795,-0.009304153,0.000190331,8,1.952334746,0.053821708,-3.538957995,-0.009304153,0.000190331,-0.002413653,8
spotify:artist:7ynDETvwFfaLOGPz143R31,O'Bryan,1.272159901,0.485130837,0.011572456,-0.005403902,0,-0.278377411,-0.180020375,0.027270146,0.011572456,-0.005403902,-0.014796122,0
spotify:artist:7z1zaOeWiHpl4SD2N9ZBgk,Bloodstone,-0.812487079,-0.241629859,0.010841727,-0.005467966,0,-0.214110014,-0.138623372,-0.080100481,0.010841727,-0.005467966,-0.015492025,0
