,node_artist,edge_artist,followers,genres,popularity,_type,edge_uri
149,spotify:artist:46njgd2Rq9tZc4ZjeQMgbh,Atlanta Rhythm Section,239136,album rock; art rock; blues rock; classic rock; country rock; folk rock; hard rock; heartland rock; mellow gold; rock; singer-songwriter; soft rock; southern rock; yacht rock,49,artist,spotify:artist:0WgyCbru4tXnMsbTmX4mFw
150,spotify:artist:46njgd2Rq9tZc4ZjeQMgbh,Poco,208740,album rock; classic rock; country rock; folk; folk rock; heartland rock; mellow gold; roots rock; singer-songwriter; soft rock,48,artist,spotify:artist:0fyqyjD7pbaVzbu94ylWQR
151,spotify:artist:46njgd2Rq9tZc4ZjeQMgbh,Gino Vannelli,154643,adult standards; classic canadian rock; mellow gold; soft rock; yacht rock,51,artist,spotify:artist:6ltcwvni6HdZAJaWhmIvNR
152,spotify:artist:46njgd2Rq9tZc4ZjeQMgbh,Jefferson Starship,837082,album rock; art rock; blues rock; classic rock; folk rock; hard rock; mellow gold; rock; singer-songwriter; soft rock; symphonic rock,52,artist,spotify:artist:3HC7NcxQx2Yk0fWoRKJ0xF
153,spotify:artist:46njgd2Rq9tZc4ZjeQMgbh,Dan Fogelberg,640982,adult standards; classic rock; country rock; folk; folk rock; mellow gold; singer-songwriter; soft rock; yacht rock,54,artist,spotify:artist:0cA5Tg15TwARIRZeiNT1RO
154,spotify:artist:46njgd2Rq9tZc4ZjeQMgbh,Paul Davis,115857,album rock; bubblegum pop; country rock; folk rock; mellow gold; soft rock; yacht rock,46,artist,spotify:artist:6EJmqnuK0r6qiAevFFiNNR
155,spotify:artist:46njgd2Rq9tZc4ZjeQMgbh,Michael McDonald,419821,mellow gold; quiet storm; soft rock; yacht rock,55,artist,spotify:artist:24hJWbo98sH84tb0nkeaqy
156,spotify:artist:46njgd2Rq9tZc4ZjeQMgbh,Pure Prairie League,209752,album rock; classic rock; country rock; folk; folk rock; heartland rock; mellow gold; roots rock; singer-songwriter; soft rock,50,artist,spotify:artist:1MXwwmS2JpmsHZhdMeOL2s
157,spotify:artist:46njgd2Rq9tZc4ZjeQMgbh,Donald Fagen,198228,folk rock; mellow gold; singer-songwriter; soft rock; sophisti-pop; yacht rock,47,artist,spotify:artist:0S1SjYebdSaiMpI8xSW2Wb
158,spotify:artist:46njgd2Rq9tZc4ZjeQMgbh,Player,112025,mellow gold; soft rock; yacht rock,55,artist,spotify:artist:0fgtHVpOPfXb07S8Jx443z
159,spotify:artist:46njgd2Rq9tZc4ZjeQMgbh,Nicolette Larson,53074,bubblegum pop; classic uk pop; country rock; mellow gold; soft rock; yacht rock,44,artist,spotify:artist:0NCXrh1XOnHNp4mM0JUFJw
160,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Amerie,824072,alternative r&b; contemporary r&b; dance pop; hip hop; hip pop; neo soul; r&b; urban contemporary,55,artist,spotify:artist:08rMCq2ek1YjdDBsCPVH2s
161,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Brandy,2949788,contemporary r&b; dance pop; hip hop; hip pop; neo soul; r&b; urban contemporary,65,artist,spotify:artist:05oH07COxkXKIMt6mIPRee
162,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Monica,2250156,contemporary r&b; dance pop; hip pop; neo soul; pop r&b; r&b; urban contemporary,62,artist,spotify:artist:6nzxy2wXs6tLgzEtqOkEi2
