Bachman-Turner Overdrive,60,834114,spotify:artist:5q4AzEtCoYJyXjMMoEkSU5
Backstreet Boys,75,4757238,spotify:artist:5rSXSAkZ67PYJSvpUpkOr7
Bad Company,60,921832,spotify:artist:5AEG63ajney2BoDXi0Vb84
Bad English,49,281156,spotify:artist:5fhMbh4PVSLSODF2fhWwqt
Baha Men,50,36196,spotify:artist:67FFKYikvTlvsPNk4NPOYJ
Banda El Recodo,72,3161186,spotify:artist:6AcOTCYBMvjKYy4zms0kaC
Barbara Mandrell,45,216869,spotify:artist:67BqBdApdbZ0onglFqRoTg
Barbra Streisand,64,1223781,spotify:artist:7jmTilWYlKOuavFfmQAcu6
Barenaked Ladies,60,683044,spotify:artist:0dEvJpkqhrcn64d3oI8v79
Barney,54,70345,spotify:artist:4rB5wLJLaXdMrXaYsOYLmK
Barry Manilow,61,1347173,spotify:artist:3alW3LYQS8K29z8C8NSLIX
Barry White,64,1573356,spotify:artist:3rfgbfpPSfXY40lzRK7Syt
Basia,42,79726,spotify:artist:4mITrNyXdPhy8phBHPgAHk
Bastille,75,5146724,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc
Bay City Rollers,47,173277,spotify:artist:3r9TXuXfOUxXjgYgAR0fP8
Bazzi,74,5158603,spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl
BB,9,226,spotify:artist:0e0wPekjSz7Ipt9jn9YvhE
Beastie Boys,68,2328843,spotify:artist:03r4iKL2g2442PT9n2UKsx
Beavis And Butt-Head,14,1990,spotify:artist:3YVZDRxTrSOCR1TPDw0nBm
Bebe & Cece Winans,44,266255,spotify:artist:3WNUkxJcJeliFx9KXWXMgs
Bebe Rexha,84,7601759,spotify:artist:64M6ah0SkkRsnPGtGiRAbb
Becky G,80,12418252,spotify:artist:4obzFoKoKRHIphyHzJ35G3
Bee Gees,76,6086905,spotify:artist:1LZEQNv7sE11VDY3SdxQeN
Belinda Carlisle,61,705079,spotify:artist:7xkAwz0bQTGDSbkofyQt3U
Bell Biv DeVoe,55,921574,spotify:artist:2zFZiWQJFFshzojycnXoTL
Ben Folds Five,46,246713,spotify:artist:44gRHbEm4Uqa0ykW0rDTNk
Ben Harper,62,931447,spotify:artist:45lorWzrKLxfKlWpV7r9CN
Benedictine Monks' Choir Of Santo Domingo De Silos,9,41,spotify:artist:3iDBygQ5jUSGX9N4NYIOPy
benny blanco,76,1000194,spotify:artist:5CiGnKThu5ctn9pBxv7DGa
Berliner Philharmoniker,70,172151,spotify:artist:6uRJnvQ3f8whVnmeoecv5Z
Bert Kaempfert,49,68053,spotify:artist:2s6JabvZdqVQhfOsaxCSFX
Bette Midler,60,632583,spotify:artist:13y0kncDD4J9wxCyfKr10W
Better Than Ezra,50,377607,spotify:artist:4UuoJfJ9UybJft7a8E6UHX
Beyoncé,88,32312858,spotify:artist:6vWDO969PvNqNYHIOW5v0m
Big & Rich,58,1098504,spotify:artist:0oBEeN6BCxEgMogzThqrPf
Big Bad Voodoo Daddy,43,127585,spotify:artist:6ROyXB8NDG0fA78S46JdTB
Big Daddy Kane,49,465014,spotify:artist:6futYSDVulYR2PktBjTB5W
Big Head Todd and The Monsters,48,111078,spotify:artist:1lOQRP0UJWmpoDWBa8PB0B
Big Pun,62,1129186,spotify:artist:2Xu7q46Hf02xOoEIm4E1Qs
Big Sean,79,10072512,spotify:artist:0c173mlxpT3dSFRgMO8XPh
Big Tymers,53,537152,spotify:artist:4jWGfUCFeTu5e0wprRhHXR
Bill Cosby,21,25322,spotify:artist:4JeqRr8Upw5uxLEu6jgIRm
Bill Engvall,23,60124,spotify:artist:1sCa5KANHoHo4NuGextoI9
Bill Whelan,35,5040,spotify:artist:7I45cJlgpJa5SLVWqocmjb
Bill Withers,71,1375932,spotify:artist:1ThoqLcyIYvZn7iWbj8fsj
Billie Eilish,89,69725403,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
Billy Currington,66,2412469,spotify:artist:1By9QBFnjZAoI83BZppHlt
Billy Dean,45,112899,spotify:artist:3cMyqwpNT2D8f0WuaRzzZX
Billy Gilman,31,22075,spotify:artist:6OqQbeNe7Pi7Zi7SNTi9ko
Billy Idol,69,1511680,spotify:artist:7lzordPuZEXxwt9aoVZYmG
Billy Joel,76,4623245,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e
Billy Ocean,62,947533,spotify:artist:5IDs1CK15HegSAhGEbSYXo
Billy Ray Cyrus,64,215543,spotify:artist:60rpJ9SgigSd16DOAG7GSa
Billy Squier,60,672054,spotify:artist:3Fz2GbraVXhcpXnoi2Oe1r
Billy Vaughn,45,39577,spotify:artist:6ZzOIAEw7joAghyA80c6D0
Bing Crosby,58,414039,spotify:artist:6ZjFtWeHP9XN7FeKSUe80S
Björk,66,1653004,spotify:artist:7w29UYBi0qsHi5RTcv3lmA
Black Eyed Peas,81,6930087,spotify:artist:1yxSLGMDHlW21z4YXirZDS
Black Oak Arkansas,32,128135,spotify:artist:07xwCifj3iE7F6fYHin4TU
Black Rob,51,173915,spotify:artist:1QPZhx0asYTBxD5RDqfU49
Black Sabbath,73,6451467,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ
blackbear,80,4784960,spotify:artist:2cFrymmkijnjDg9SS92EPM
Blackfoot,45,303245,spotify:artist:10rzK0sLCXsUlDhl8ed0MV
BlackHawk,46,223339,spotify:artist:4mOt6H7OnuqLnQrm1Bboc6
Blackstreet,63,675002,spotify:artist:2P3cjUru4H3fhSXXNxE9kA
Blake Shelton,71,6676892,spotify:artist:1UTPBmNbXNTittyMJrNkvw
Blaque,47,429752,spotify:artist:1nSRa2YjjFWJLHGKM07oGQ
Blind Faith,48,343705,spotify:artist:5GUVj2b1lJ4DolQyHlzyaO
Blind Melon,61,1033024,spotify:artist:5sD1ZLf2dGQ9gQ3YJl1eAd
blink-182,76,7141213,spotify:artist:6FBDaR13swtiWwGhX1WQsP
Blondie,69,1161542,spotify:artist:4tpUmLEVLCGFr93o8hFFIB
"Blood, Sweat & Tears",45,509013,spotify:artist:24GaH9tRBgZjlvOhpFuKi2
Bloodhound Gang,61,820836,spotify:artist:6nDLku5uL3ou60kvCGZorh
Blue October,58,404559,spotify:artist:1TJbmc7jTpw78GKCiMpvDh
Blue Öyster Cult,63,1304500,spotify:artist:00tVTdpEhQQw1bqdu8RCx2
Blues Traveler,57,570656,spotify:artist:3pHeBYl1yujXcZqqfF1UyQ
Bob Carlisle,37,16588,spotify:artist:4PJHDzdFoQcklrWU18QdsU
Bob Dylan,71,5800645,spotify:artist:74ASZWbe4lXaubB36ztrGX
Bob James & Keiko Matsui,2,267,spotify:artist:1q1LI3FTPjXilhHPUH23Ax
