Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond,Standard
VAMPIRE WEEKEND,2,3,1,0,0,All types
VELVET REVOLVER,2,1,1,1,0,All types
VERTICAL HORIZON,2,1,1,1,0,Standard
VICENTE FERNANDEZ,2,4,0,0,0,All types
WHODINI,2,3,1,0,0,Standard
WILLIE NELSON & FAMILY,2,1,1,1,0,Standard
"WINANS, BEBE & CECE",2,3,1,0,0,Standard
WINGER,2,2,2,0,0,Standard
XZIBIT,2,3,1,0,0,Standard
YING YANG TWINS,2,2,2,0,0,Standard
YOLANDA ADAMS,2,3,1,0,0,All types
30 SECONDS TO MARS,1.5,2,1,0,0,All types
6IX9INE,1.5,2,1,0,0,All types
6LACK,1.5,2,1,0,0,All types
702,1.5,2,1,0,0,Standard
ALABAMA SHAKES,1.5,2,1,0,0,All types
ALEJANDRO FERNANDEZ,1.5,2,1,0,0,All types
ANDY GRIFFITH,1.5,2,1,0,0,Standard
APRIL WINE,1.5,2,1,0,0,Standard
ARCTIC MONKEYS,1.5,2,1,0,0,All types
ARLO GUTHRIE,1.5,2,1,0,0,Standard
ATLANTIC STARR,1.5,2,1,0,0,Standard
B.B. KING,1.5,2,1,0,0,Standard
B.G.,1.5,2,1,0,0,Standard
B*WITCHED,1.5,2,1,0,0,Standard
BAR-KAYS,1.5,3,0,0,0,Standard
BERT KAEMPFERT,1.5,3,0,0,0,Standard
BILL ENGVALL,1.5,2,1,0,0,Standard
BILL WITHERS,1.5,3,0,0,0,Standard
BILLY VAUGHN,1.5,3,0,0,0,Standard
BLACK OAK ARKANSAS,1.5,3,0,0,0,Standard
BLACKBEAR,1.5,3,0,0,0,All types
BLACKBYRDS,1.5,3,0,0,0,Standard
BLOODHOUND GANG,1.5,2,1,0,0,Standard
BOB DYLAN & THE BAND,1.5,2,1,0,0,Standard
BOB WELCH,1.5,2,1,0,0,Standard
BOBBY SHERMAN,1.5,3,0,0,0,Standard
BONEY JAMES,1.5,3,0,0,0,Standard
BONNIE TYLER,1.5,2,1,0,0,Standard
BOOGIE DOWN PRODUCTIONS,1.5,3,0,0,0,Standard
C-MURDER,1.5,2,1,0,0,Standard
CANDLE,1.5,2,1,0,0,Standard
CARL THOMAS,1.5,2,1,0,0,Standard
CHILDISH GAMBINO,1.5,2,1,0,0,All types
CHRISTINA PERRI,1.5,2,1,0,0,All types
COLE SWINDELL,1.5,2,1,0,0,All types
COMMON,1.5,3,0,0,0,Standard
CONWAY TWITTY & LORETTA LYNN,1.5,3,0,0,0,Standard
COREY HART,1.5,3,0,0,0,Standard
CRAIG DAVID,1.5,2,1,0,0,Standard
CRUSADERS,1.5,3,0,0,0,Standard
CURTIS MAYFIELD,1.5,3,0,0,0,Standard
"D. PARTON, L. RONSTADT, E. HARRIS",1.5,2,1,0,0,Standard
DADDY YANKEE,1.5,2,1,0,0,All types
DAN SEALS,1.5,2,1,0,0,Standard
DANITY KANE,1.5,2,1,0,0,All types
DASHBOARD CONFESSIONAL,1.5,3,0,0,0,Standard
DAVID CROSBY & GRAHAM NASH,1.5,3,0,0,0,Standard
DAVID GRAY,1.5,2,1,0,0,Standard
DAVID GUETTA,1.5,3,0,0,0,All types
DE BARGE,1.5,3,0,0,0,Standard
DE LA SOUL,1.5,2,1,0,0,Standard
DEBORAH COX,1.5,2,1,0,0,Standard
DEVO,1.5,2,1,0,0,Standard
DJ SNAKE,1.5,2,1,0,0,All types
DONALD FAGEN,1.5,2,1,0,0,Standard
DONELL JONES,1.5,2,1,0,0,Standard
DONOVAN,1.5,2,1,0,0,Standard
EDWIN MC CAIN,1.5,2,1,0,0,Standard
ELVIS CRESPO,1.5,2,1,0,0,All types
ERASURE,1.5,2,1,0,0,Standard
EVE 6,1.5,2,1,0,0,Standard
FAITH NO MORE,1.5,2,1,0,0,Standard
FANTASIA,1.5,2,1,0,0,All types
FAT JOE,1.5,2,1,0,0,All types
FORT MINOR,1.5,2,1,0,0,All types
FOURPLAY,1.5,3,0,0,0,Standard
FRANK OCEAN,1.5,2,1,0,0,All types
FRANZ FERDINAND,1.5,2,1,0,0,All types
FUNKADELIC,1.5,2,1,0,0,Standard
FUNKMASTER FLEX,1.5,3,0,0,0,Standard
GARY PUCKETT & THE UNION GAP,1.5,2,1,0,0,Standard
GAVIN DEGRAW,1.5,2,1,0,0,All types
GENIUS/GZA,1.5,2,1,0,0,Standard
GERRY RAFFERTY,1.5,2,1,0,0,Standard
GHOSTFACE KILLAH,1.5,2,1,0,0,Standard
GOODIE MOB,1.5,3,0,0,0,Standard
GUESS WHO,1.5,3,0,0,0,Standard
H-TOWN,1.5,2,1,0,0,Standard
HALESTORM,1.5,2,1,0,0,All types
HERB ALPERT,1.5,2,1,0,0,Standard
HOLLYWOOD UNDEAD,1.5,2,1,0,0,All types
HOUSE OF PAIN,1.5,2,1,0,0,Standard
ISRAEL KAMAKAWIWO'OLE,1.5,2,1,0,0,All types
JACKIE EVANCHO,1.5,2,1,0,0,Standard
JACKYL,1.5,2,1,0,0,Standard
JADE,1.5,2,1,0,0,Standard
JAKE OWEN,1.5,2,1,0,0,All types
JAMES GANG,1.5,3,0,0,0,Standard
JAMEY JOHNSON,1.5,2,1,0,0,All types
JAZMINE SULLIVAN,1.5,2,1,0,0,All types
JEFF HEALEY BAND,1.5,2,1,0,0,Standard
JEFFREY OSBORNE,1.5,3,0,0,0,Standard
JERRY CLOWER,1.5,3,0,0,0,Standard
JIM JOHNSTON,1.5,2,1,0,0,Standard
JIM NABORS,1.5,3,0,0,0,Standard
JIMMY EAT WORLD,1.5,2,1,0,0,All types
JIMMY PAGE & ROBERT PLANT,1.5,2,1,0,0,Standard
JODY WATLEY,1.5,2,1,0,0,Standard
JOE COCKER,1.5,3,0,0,0,Standard
JOE NICHOLS,1.5,2,1,0,0,All types
JOHNNY PAYCHECK,1.5,2,1,0,0,Standard
JOHNNY RIVERS,1.5,3,0,0,0,Standard
JOJI,1.5,2,1,0,0,All types
JOJO,1.5,2,1,0,0,All types
JON B.,1.5,2,1,0,0,Standard
JON PARDI,1.5,2,1,0,0,All types
JOSE FELICIANO,1.5,3,0,0,0,All types
JULIAN LENNON,1.5,2,1,0,0,Standard
KARYN WHITE,1.5,2,1,0,0,Standard
KEANE,1.5,2,1,0,0,All types
KENNY ROGERS & DOTTIE WEST,1.5,2,1,0,0,Standard
KILLSWITCH ENGAGE,1.5,2,1,0,0,All types
KOOL MOE DEE,1.5,2,1,0,0,Standard
KYLIE MINOGUE,1.5,2,1,0,0,All types
LARRY GATLIN,1.5,2,1,0,0,Standard
LEONARD COHEN,1.5,3,0,0,0,Standard
LIL PEEP,1.5,2,1,0,0,All types
LIL SKIES,1.5,2,1,0,0,All types
LIL TJAY,1.5,2,1,0,0,All types
LILA MC CANN,1.5,2,1,0,0,Standard
LINDSAY LOHAN,1.5,2,1,0,0,All types
LISA STANSFIELD,1.5,2,1,0,0,Standard
LIZ PHAIR,1.5,3,0,0,0,All types
LOVE UNLIMITED,1.5,3,0,0,0,Standard
LUCIANO PAVAROTTI,1.5,2,1,0,0,Standard
LYNN ANDERSON,1.5,2,1,0,0,Standard
MACK 10,1.5,3,0,0,0,Standard
MANHATTAN TRANSFER,1.5,2,1,0,0,Standard
MARCO ANTONIO SOLIS Y LOS BUKIS,1.5,3,0,0,0,Standard
MAREN MORRIS,1.5,2,1,0,0,All types
MARIO,1.5,2,1,0,0,All types
MARK WILLS,1.5,2,1,0,0,All types
MARVIN SAPP,1.5,2,1,0,0,All types
MICK JAGGER,1.5,2,1,0,0,Standard
MIDNIGHT OIL,1.5,2,1,0,0,Standard
MILLIE JACKSON,1.5,3,0,0,0,Standard
MO THUGS,1.5,2,1,0,0,Standard
MONEYBAGG YO,1.5,2,1,0,0,All types
MOUNTAIN,1.5,3,0,0,0,Standard
MUDVAYNE,1.5,3,0,0,0,Standard
NICKEL CREEK,1.5,2,1,0,0,Standard
OL' DIRTY BASTARD,1.5,2,1,0,0,Standard
OLD DOMINION,1.5,2,1,0,0,All types
ORGY,1.5,2,1,0,0,Standard
OUR LADY PEACE,1.5,2,1,0,0,Standard
PARTYNEXTDOOR,1.5,3,0,0,0,All types
PAT METHENY GROUP,1.5,3,0,0,0,Standard
PEABO BRYSON,1.5,3,0,0,0,Standard
PEACHES & HERB,1.5,2,1,0,0,Standard
PEBBLES,1.5,2,1,0,0,Standard
PERCY FAITH,1.5,3,0,0,0,Standard
PETE TOWNSHEND,1.5,2,1,0,0,Standard
PETER TOSH,1.5,2,1,0,0,Standard
PIXIES,1.5,2,1,0,0,Standard
R. CARLOS NAKAI,1.5,2,1,0,0,Standard
RAEKWON,1.5,2,1,0,0,Standard
RANCID,1.5,2,1,0,0,Standard
READY FOR THE WORLD,1.5,2,1,0,0,Standard
RELIENT K,1.5,3,0,0,0,All types
RINGO STARR,1.5,2,1,0,0,Standard
RITA COOLIDGE,1.5,2,1,0,0,Standard
ROGER MILLER,1.5,3,0,0,0,Standard
ROSANNE CASH,1.5,3,0,0,0,Standard
ROSIE O'DONNELL,1.5,2,1,0,0,Standard
ROYAL PHILHARMONIC ORCHESTRA,1.5,2,1,0,0,Standard
RUBEN STUDDARD,1.5,2,1,0,0,Standard
RUFUS,1.5,3,0,0,0,Standard
RUSTED ROOT,1.5,2,1,0,0,Standard
S.O.S. BAND,1.5,3,0,0,0,Standard
SALIVA,1.5,2,1,0,0,All types
SAMANTHA FOX,1.5,3,0,0,0,Standard
SAWYER BROWN,1.5,3,0,0,0,Standard
SCHOOLBOY Q,1.5,2,1,0,0,All types
SELENA GOMEZ & THE SCENE,1.5,3,0,0,0,All types
SEVENDUST,1.5,3,0,0,0,Standard
SHALAMAR,1.5,3,0,0,0,Standard
SHAQUILLE O'NEAL,1.5,2,1,0,0,Standard
SHEDAISY,1.5,2,1,0,0,Standard
SHEKINAH GLORY MINISTRY,1.5,2,1,0,0,Standard
SHENANDOAH,1.5,3,0,0,0,Standard
SIA,1.5,2,1,0,0,All types
SLICK RICK,1.5,2,1,0,0,Standard
SMOTHERS BROTHERS,1.5,3,0,0,0,Standard
SNOOP DOGG PRESENTS THA EASTSIDAZ,1.5,2,1,0,0,Standard
SNOW PATROL,1.5,2,1,0,0,All types
SONNY & CHER,1.5,3,0,0,0,Standard
SPICE 1,1.5,3,0,0,0,Standard
SQUIRREL NUT ZIPPERS,1.5,2,1,0,0,Standard
STARSHIP,1.5,2,1,0,0,Standard
STATIC-X,1.5,2,1,0,0,Standard
STEPHEN STILLS,1.5,3,0,0,0,Standard
STEVE WARINER,1.5,3,0,0,0,Standard
STEVIE B.,1.5,3,0,0,0,Standard
STONE SOUR,1.5,2,1,0,0,All types
STRAY CATS,1.5,2,1,0,0,Standard
SURFACE,1.5,2,1,0,0,Standard
SUZANNE VEGA,1.5,2,1,0,0,Standard
TAKE 6,1.5,2,1,0,0,Standard
TAKING BACK SUNDAY,1.5,3,0,0,0,Standard
TAMMY WYNETTE,1.5,2,1,0,0,Standard
THE 1975,1.5,2,1,0,0,All types
THE BAND PERRY,1.5,2,1,0,0,All types
THE BELLAMY BROTHERS,1.5,2,1,0,0,Standard
THE BOYS,1.5,2,1,0,0,Standard
THE FIXX,1.5,2,1,0,0,Standard
THE JETS,1.5,2,1,0,0,Standard
THE LOX,1.5,2,1,0,0,Standard
THE MANHATTANS,1.5,3,0,0,0,Standard
THE MAVERICKS,1.5,2,1,0,0,Standard
THE NEIGHBOURHOOD,1.5,2,1,0,0,All types
THE OUTLAWS,1.5,3,0,0,0,Standard
THE SHINS,1.5,3,0,0,0,Standard
THE SMITHS,1.5,3,0,0,0,Standard
THE STYLISTICS,1.5,3,0,0,0,Standard
THE VENTURES,1.5,3,0,0,0,Standard
THOMPSON TWINS,1.5,2,1,0,0,Standard
TOM WAITS,1.5,3,0,0,0,Standard
TOTAL,1.5,2,1,0,0,Standard
TYPE O NEGATIVE,1.5,2,1,0,0,Standard
VAN CLIBURN,1.5,2,1,0,0,Standard
VANCE JOY,1.5,2,1,0,0,All types
VERN GOSDIN,1.5,3,0,0,0,Standard
VIOLENT FEMMES,1.5,2,1,0,0,Standard
VONDA SHEPARD,1.5,2,1,0,0,Standard
WALE,1.5,3,0,0,0,All types
WARREN ZEVON,1.5,2,1,0,0,Standard
WESTSIDE CONNECTION,1.5,2,1,0,0,Standard
YELLOWCARD,1.5,2,1,0,0,All types
YNW MELLY,1.5,3,0,0,0,All types
YO GOTTI,1.5,3,0,0,0,All types
YOUNG M.C.,1.5,2,1,0,0,Standard
ZAPP,1.5,3,0,0,0,Standard
ZAYN,1.5,2,1,0,0,All types
ZEDD,1.5,2,1,0,0,All types
ZIGGY MARLEY & MELODY MAKERS,1.5,2,1,0,0,Standard
2 PAC & OUTLAWZ,1,1,1,0,0,Standard
3LW,1,1,1,0,0,Standard
3RD BASS,1,2,0,0,0,Standard
4 NON BLONDES,1,1,1,0,0,Standard
69 BOYZ,1,1,1,0,0,Standard
A DAY TO REMEMBER,1,2,0,0,0,All types
A TASTE OF HONEY,1,1,1,0,0,Standard
A-HA,1,1,1,0,0,Standard
A.B. Y LOS KUMBIA KINGS QUINTANILLA III,1,2,0,0,0,All types
A$AP FERG,1,2,0,0,0,All types
AARON HALL,1,1,1,0,0,Standard
ACE FREHLEY,1,1,1,0,0,Standard
AKWID,1,1,1,0,0,All types
ALANNAH MYLES,1,1,1,0,0,Standard
ALESSIA CARA,1,1,1,0,0,All types
ALEXANDER O'NEAL,1,2,0,0,0,Standard
ALIEN ANT FARM,1,1,1,0,0,Standard
ALL SAINTS,1,1,1,0,0,Standard
ALL TIME LOW,1,2,0,0,0,All types
ALT-J,1,2,0,0,0,All types
AMERICAN IDOLS,1,2,0,0,0,Standard
AMERIE,1,2,0,0,0,All types
ANGIE STONE,1,2,0,0,0,Standard
ANNE-MARIE,1,1,1,0,0,All types
ANOTHER BAD CREATION,1,1,1,0,0,Standard
ARCADE FIRE,1,2,0,0,0,Standard
ARCADIA,1,1,1,0,0,Standard
ATREYU,1,2,0,0,0,Standard
AUGUST ALSINA,1,1,1,0,0,All types
AVA MAX,1,1,1,0,0,All types
AVALON,1,2,0,0,0,Standard
AVICII,1,1,1,0,0,All types
AWOLNATION,1,1,1,0,0,All types
AZ YET,1,1,1,0,0,Standard
BAD ENGLISH,1,1,1,0,0,Standard
BANDA EL RECODO,1,2,0,0,0,All types
BARBARA MANDRELL,1,2,0,0,0,Standard
BASTILLE,1,1,1,0,0,All types
BAZZI,1,1,1,0,0,All types
BEBE REXHA,1,1,1,0,0,All types
BEN FOLDS FIVE,1,1,1,0,0,Standard
BENNY BLANCO,1,1,1,0,0,Standard
BETTER THAN EZRA,1,1,1,0,0,Standard
BIG BAD VOODOO DADDY,1,1,1,0,0,Standard
BIG DADDY KANE,1,2,0,0,0,Standard
BIG HEAD TODD & THE MONSTERS,1,1,1,0,0,Standard
BILL WHELAN,1,1,1,0,0,Standard
BLACK ROB,1,1,1,0,0,Standard
BLACKFOOT,1,1,1,0,0,Standard
BLAQUE,1,1,1,0,0,Standard
BLIND FAITH,1,1,1,0,0,Standard
BLUE OCTOBER,1,1,1,0,0,All types
BOB JAMES & DAVID SANBORN,1,1,1,0,0,Standard
BOB NEWHART,1,2,0,0,0,Standard
BOBBY MC FERRIN,1,1,1,0,0,Standard
BOBBY VINTON,1,2,0,0,0,Standard
BOOTS RANDOLPH,1,2,0,0,0,Standard
BOOTSY'S RUBBER BAND,1,2,0,0,0,Standard
BRETT ELDREDGE,1,2,0,0,0,All types
BRETT YOUNG,1,1,1,0,0,All types
BRONCO,1,2,0,0,0,All types
BROWNSTONE,1,1,1,0,0,Standard
BUDDY HOLLY & THE CRICKETS,1,2,0,0,0,Standard
BUENA VISTA SOCIAL CLUB,1,1,1,0,0,Standard
BUFFALO SPRINGFIELD,1,1,1,0,0,Standard
CALIFORNIA RAISINS,1,1,1,0,0,Standard
CAPITAL CITIES,1,1,1,0,0,All types
CARL DOY,1,1,1,0,0,Standard
CARLOS SANTANA & BUDDY MILES,1,1,1,0,0,Standard
CASE,1,2,0,0,0,Standard
CHAMILLIONAIRE,1,1,1,0,0,All types
CHANGING FACES,1,2,0,0,0,Standard
CHARLIE ZAA,1,1,1,0,0,All types
CHRIS BOTTI,1,2,0,0,0,Standard
CHRIS CAGLE,1,2,0,0,0,Standard
CLANNAD,1,2,0,0,0,Standard
CLEAN BANDIT,1,2,0,0,0,All types
CLUB NOUVEAU,1,1,1,0,0,Standard
COHEED & CAMBRIA,1,2,0,0,0,Standard
COLD,1,2,0,0,0,Standard
CORINNE BAILEY RAE,1,1,1,0,0,Standard
COVERDALE PAGE,1,1,1,0,0,Standard
COWBOY JUNKIES,1,1,1,0,0,Standard
CRAIG MORGAN,1,2,0,0,0,All types
CRAZY TOWN,1,1,1,0,0,Standard
CREEDENCE CLEARWATER REVISITED,1,1,1,0,0,All types
CROSSFADE,1,1,1,0,0,All types
CROWDED HOUSE,1,1,1,0,0,Standard
DAN FOGELBERG & TIM WEISBERG,1,1,1,0,0,Standard
DANIEL CAESAR,1,1,1,0,0,All types
DARLENE ZSCHECH,1,2,0,0,0,Standard
DAS EFX,1,1,1,0,0,Standard
DAVE CLARK FIVE,1,2,0,0,0,Standard
DAVE HOLLISTER,1,2,0,0,0,Standard
DAVE KOZ,1,2,0,0,0,Standard
DAVID BALL,1,1,1,0,0,Standard
DAVID COOK,1,1,1,0,0,All types
DAVID GILMOUR,1,2,0,0,0,Standard
DAVID LEE MURPHY,1,1,1,0,0,All types
DAYS OF THE NEW,1,1,1,0,0,Standard
DEBBY BOONE,1,1,1,0,0,Standard
DEFAULT,1,1,1,0,0,Standard
DENIECE WILLIAMS,1,2,0,0,0,Standard
DEREK & THE DOMINOS,1,2,0,0,0,Standard
DES'REE,1,1,1,0,0,Standard
DIANA ROSS & THE SUPREMES WITH THE TEMPTATIONS,1,2,0,0,0,Standard
DJ MAGIC MIKE,1,2,0,0,0,Standard
DJ MAGIC MIKE & ROYAL POSSE,1,1,1,0,0,Standard
DO OR DIE,1,2,0,0,0,Standard
DON OMAR,1,2,0,0,0,All types
DONNA LEWIS,1,1,1,0,0,Standard
DREAMVILLE,1,1,1,0,0,All types
DROWNING POOL,1,1,1,0,0,All types
EAGLE EYE CHERRY,1,1,1,0,0,Standard
ED AMES,1,2,0,0,0,Standard
EDGAR WINTER,1,2,0,0,0,Standard
ELLE KING,1,1,1,0,0,All types
ELMO AND PATSY,1,1,1,0,0,All types
EMF,1,1,1,0,0,Standard
ERIC JOHNSON,1,1,1,0,0,Standard
EUGENE ORMANDY,1,2,0,0,0,Standard
EVA CASSIDY,1,1,1,0,0,Standard
"EVELYN ""CHAMPAGNE"" KING",1,2,0,0,0,Standard
EXILE,1,2,0,0,0,Standard
FASTBALL,1,1,1,0,0,All types
FATBOY SLIM,1,1,1,0,0,Standard
FINGER ELEVEN,1,2,0,0,0,All types
FIVE,1,1,1,0,0,Standard
FLYLEAF,1,1,1,0,0,All types
FOCUS,1,2,0,0,0,Standard
FRANCES LAI,1,2,0,0,0,Standard
FRANCESCA BATTISTELLI,1,2,0,0,0,All types
FRANKIE J,1,1,1,0,0,All types
FUTURE AND JUICE WRLD,1,1,1,0,0,Standard
G.Q.,1,1,1,0,0,Standard
GABBY BARRETT,1,1,1,0,0,All types
GANG STARR,1,2,0,0,0,Standard
GENE SIMMONS,1,1,1,0,0,Standard
GEORGIA SATELLITES,1,1,1,0,0,Standard
GINO VANNELLI,1,1,1,0,0,Standard
GIVEON,1,1,1,0,0,All types
GLENN FREY,1,2,0,0,0,Standard
GLORIA GAYNOR,1,1,1,0,0,All types
GNARLS BARKLEY,1,1,1,0,0,All types
GRUPO MONTEZ DE DURANGO,1,2,0,0,0,All types
GUNNA,1,2,0,0,0,All types
HALL & OATES,1,1,1,0,0,Standard
HAWTHORNE HEIGHTS,1,2,0,0,0,All types
HEATHER HEADLEY,1,2,0,0,0,Standard
HI-FIVE,1,2,0,0,0,Standard
HIROSHIMA,1,2,0,0,0,Standard
HOT BOYS,1,1,1,0,0,Standard
HOWARD JONES,1,1,1,0,0,Standard
HUMBLE PIE,1,2,0,0,0,Standard
IGGY AZALEA,1,1,1,0,0,All types
IMMATURE,1,2,0,0,0,Standard
INNER CIRCLE,1,1,1,0,0,Standard
INTERPOL,1,2,0,0,0,Standard
ISRAEL & NEW BREED,1,2,0,0,0,Standard
JACK HARLOW,1,1,1,0,0,All types
JACK JOHNSON & FRIENDS,1,1,1,0,0,Standard
JACKIE GLEASON,1,2,0,0,0,Standard
JADAKISS,1,2,0,0,0,Standard
JAMES BAY,1,1,1,0,0,All types
JAMES INGRAM,1,2,0,0,0,Standard
JAMIROQUAI,1,1,1,0,0,Standard
JANIS IAN,1,1,1,0,0,Standard
JEFF BUCKLEY,1,1,1,0,0,All types
JENNIFER HUDSON,1,2,0,0,0,Standard
JERMAINE DUPRI,1,1,1,0,0,Standard
JERMAINE JACKSON,1,2,0,0,0,Standard
JERRY SEINFELD,1,1,1,0,0,Standard
JESSE MC CARTNEY,1,1,1,0,0,All types
JESSIE J,1,1,1,0,0,All types
JESUS JONES,1,1,1,0,0,Standard
JET,1,1,1,0,0,All types
JOE JACKSON,1,2,0,0,0,Standard
JOHN DENVER & THE MUPPETS,1,1,1,0,0,Standard
JOHN TESH,1,2,0,0,0,Standard
JOHNNIE TAYLOR,1,1,1,0,0,Standard
JOHNNY 'GUITAR' WATSON,1,2,0,0,0,Standard
JOHNNY HORTON,1,1,1,0,0,Standard
JORDIN SPARKS,1,1,1,0,0,All types
JOSHUA KADISON,1,1,1,0,0,Standard
JUANITA BYNUM,1,1,1,0,0,Standard
KEHLANI,1,2,0,0,0,All types
KENNY ROGERS & THE FIRST EDITION,1,1,1,0,0,Standard
KID 'N PLAY,1,2,0,0,0,Standard
KIM CARNES,1,1,1,0,0,Standard
KIP MOORE,1,1,1,0,0,All types
KIX,1,1,1,0,0,Standard
KRAYZIE BONE,1,1,1,0,0,Standard
KROKUS,1,2,0,0,0,Standard
KT TUNSTALL,1,1,1,0,0,Standard
KYGO,1,2,0,0,0,Standard
KYLE,1,1,1,0,0,All types
L. ELGART / MANHATTAN SWING ORC,1,1,1,0,0,Standard
L.A. GUNS,1,2,0,0,0,Standard
LA BOUCHE,1,1,1,0,0,Standard
LAMB OF GOD,1,2,0,0,0,Standard
LAUV,1,2,0,0,0,All types
LAWRENCE WELK,1,2,0,0,0,Standard
LEIF GARRETT,1,2,0,0,0,Standard
LEO SAYER,1,1,1,0,0,Standard
LEONA LEWIS,1,1,1,0,0,All types
LETOYA,1,1,1,0,0,Standard
LFO,1,1,1,0,0,Standard
LIL BABY & GUNNA,1,1,1,0,0,All types
"LIL BABY, LIL DURK",1,1,1,0,0,All types
LIL NAS X,1,1,1,0,0,All types
LIL PUMP,1,2,0,0,0,All types
LIL TECCA,1,1,1,0,0,All types
LIL' TROY,1,1,1,0,0,Standard
"LIN-MANUEL MIRANDA, GERMAINE FRANCO, ENCANTO - CAST",1,1,1,0,0,Standard
LINDSEY STIRLING,1,2,0,0,0,All types
LISA LISA & CULT JAM,1,1,1,0,0,Standard
LISA LISA & CULT JAM WITH FULL FORCE,1,1,1,0,0,Standard
LISA LOEB,1,2,0,0,0,Standard
LIT,1,1,1,0,0,All types
LITA FORD,1,1,1,0,0,Standard
LIZA MINNELLI,1,2,0,0,0,Standard
LIZZO,1,1,1,0,0,All types
LLOYD BANKS,1,1,1,0,0,All types
LOST BOYZ,1,2,0,0,0,Standard
LOU REED,1,2,0,0,0,Standard
LUKAS GRAHAM,1,1,1,0,0,All types
LUNIZ,1,1,1,0,0,Standard
LYFE,1,1,1,0,0,Standard
MAHAVISHNU ORCHESTRA,1,2,0,0,0,Standard
MARC COHN,1,1,1,0,0,Standard
MARCY PLAYGROUND,1,1,1,0,0,Standard
MARK RONSON,1,1,1,0,0,All types
MARKY MARK & THE FUNKY BUNCH,1,1,1,0,0,Standard
MATISYAHU,1,2,0,0,0,All types
MATTHEW SWEET,1,2,0,0,0,Standard
MAZZY STAR,1,1,1,0,0,Standard
MECO,1,1,1,0,0,Standard
MELANIE,1,2,0,0,0,Standard
MELISSA MANCHESTER,1,2,0,0,0,Standard
MEMPHIS BLEEK,1,2,0,0,0,Standard
MEREDITH BROOKS,1,1,1,0,0,Standard
MERLE HAGGARD & WILLIE NELSON,1,1,1,0,0,Standard
METHOD MAN AND REDMAN,1,1,1,0,0,Standard
METRO BOOMIN,1,1,1,0,0,All types
MICHAEL FRANKS,1,2,0,0,0,Standard
MICHAEL MARTIN MURPHEY,1,2,0,0,0,Standard
MICKEY GILLEY,1,2,0,0,0,Standard
MIGHTY MIGHTY BOSSTONES,1,1,1,0,0,Standard
MIKE + THE MECHANICS,1,2,0,0,0,Standard
MIKE JONES,1,1,1,0,0,All types
MONTROSE,1,1,1,0,0,Standard
MORRISSEY,1,2,0,0,0,Standard
MOS DEF,1,2,0,0,0,Standard
MR. BIG,1,1,1,0,0,Standard
MR. MISTER,1,1,1,0,0,Standard
MUSTARD,1,1,1,0,0,All types
N.E.R.D.,1,2,0,0,0,All types
NAJEE,1,2,0,0,0,Standard
NAPPY ROOTS,1,1,1,0,0,All types
NATASHA BEDINGFIELD,1,2,0,0,0,All types
NAZARETH,1,1,1,0,0,Standard
NEIL SEDAKA,1,2,0,0,0,Standard
NEVILLE MARINER,1,1,1,0,0,Standard
NEW RADICALS,1,1,1,0,0,Standard
NIALL HORAN,1,1,1,0,0,All types
NILSSON,1,2,0,0,0,Standard
NINO ROTA,1,1,1,0,0,Standard
NIPSEY HUSSLE,1,1,1,0,0,All types
NLE CHOPPA,1,2,0,0,0,All types
NOREAGA,1,2,0,0,0,Standard
O-TOWN,1,1,1,0,0,Standard
OF MONSTERS & MEN,1,1,1,0,0,All types
OLIVIA NEWTON-JOHN & JOHN TRAVOLTA,1,1,1,0,0,Standard
ONYX,1,1,1,0,0,Standard
ORIGINAL LONDON CAST,1,1,1,0,0,Standard
OWL CITY,1,1,1,0,0,All types
P. DIDDY,1,1,1,0,0,Standard
P.M. DAWN,1,2,0,0,0,Standard
PASSENGER,1,1,1,0,0,All types
PASSION PIT,1,2,0,0,0,All types
PAUL & LINDA MC CARTNEY,1,1,1,0,0,Standard
PAUL ANKA,1,2,0,0,0,Standard
PAUL STANLEY,1,1,1,0,0,Standard
PAUL WALL,1,1,1,0,0,All types
PAULINA RUBIO,1,2,0,0,0,All types
PETER CETERA,1,1,1,0,0,Standard
PETER CRISS,1,1,1,0,0,Standard
PETEY PABLO,1,2,0,0,0,All types
PETRA,1,2,0,0,0,Standard
PHILLIP PHILLIPS,1,1,1,0,0,All types
PHOEBE SNOW,1,2,0,0,0,Standard
PLACIDO DOMINGO,1,1,1,0,0,All types
PLAIN WHITE T'S,1,2,0,0,0,All types
PLAYER,1,2,0,0,0,Standard
POCO,1,2,0,0,0,Standard
POOH SHIESTY,1,1,1,0,0,All types
POSTAL SERVICE,1,1,1,0,0,All types
POWERMAN 5000,1,1,1,0,0,Standard
PRETTY RICKY,1,2,0,0,0,All types
PSYCHEDELIC FURS,1,2,0,0,0,Standard
QUAD CITY DJ'S,1,1,1,0,0,Standard
QUARTERFLASH,1,1,1,0,0,Standard
QUEEN LATIFAH,1,2,0,0,0,Standard
R. KELLY & PUBLIC ANNOUNCEMENT,1,1,1,0,0,Standard
RAKIM,1,2,0,0,0,Standard
RALPH TRESVANT,1,1,1,0,0,Standard
RAMMSTEIN,1,1,1,0,0,Standard
RAMONES,1,2,0,0,0,All types
RAY BOLTZ,1,2,0,0,0,Standard
RAY LYNCH,1,1,1,0,0,Standard
"RAY PARKER, JR.",1,2,0,0,0,Standard
"RAY PARKER, JR. & RAYDIO",1,2,0,0,0,Standard
