Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond,Standard
JENNIFER LOPEZ,11,5,5,3,0,All types
JETHRO TULL,11,15,3,1,0,Standard
JUSTIN TIMBERLAKE,11,5,5,3,0,All types
LAURYN HILL,11,2,2,1,1,Standard
LOVERBOY,11,6,4,4,0,Standard
OLIVIA NEWTON-JOHN,11,12,4,3,0,Standard
SPICE GIRLS,11,2,2,2,0,Standard
STEELY DAN,11,12,8,1,0,Standard
SYSTEM OF A DOWN,11,5,5,2,0,All types
YANNI,11,9,5,2,0,Standard
ABBA,10.5,8,3,1,0,Standard
ANDY WILLIAMS,10.5,18,3,0,0,Standard
BILLY RAY CYRUS,10.5,3,2,1,0,Standard
BRANDY,10.5,4,3,2,0,Standard
BUSH,10.5,4,3,2,0,Standard
DEPECHE MODE,10.5,11,6,1,0,Standard
FUTURE,10.5,9,6,2,0,All types
JOHN LENNON,10.5,11,4,2,0,All types
KIRK FRANKLIN,10.5,9,6,2,0,All types
LENNY KRAVITZ,10.5,8,5,3,0,All types
MICHAEL W. SMITH,10.5,14,5,1,0,All types
RICKY MARTIN,10.5,4,3,2,0,All types
SCORPIONS,10.5,8,7,2,0,Standard
STEVIE NICKS,10.5,8,5,2,0,Standard
THE JUDDS,10.5,11,6,2,0,Standard
ZAC BROWN BAND,10.5,5,4,2,0,All types
ACE OF BASE,10,2,2,1,0,Standard
ARETHA FRANKLIN,10,14,4,1,0,Standard
BLINK-182,10,6,4,2,0,All types
BOBBY BROWN,10,3,3,2,0,Standard
"CROSBY, STILLS & NASH",10,4,4,2,0,Standard
EVANESCENCE,10,4,2,2,0,All types
MASTER P,10,6,4,2,0,Standard
NINE INCH NAILS,10,5,3,3,0,Standard
PAUL MC CARTNEY & WINGS,10,9,7,1,0,Standard
PETER FRAMPTON,10,4,2,1,0,Standard
PETER GABRIEL,10,7,3,2,0,All types
SAVAGE GARDEN,10,2,2,2,0,Standard
SOUNDGARDEN,10,4,4,2,0,Standard
THE MOODY BLUES,10,14,6,0,0,Standard
TINA TURNER,10,7,5,1,0,Standard
VAN MORRISON,10,8,2,2,0,All types
AIR SUPPLY,9.5,5,4,2,0,Standard
BLUES TRAVELER,9.5,6,3,1,0,Standard
DAVID BOWIE,9.5,14,5,0,0,Standard
DEAN MARTIN,9.5,17,2,0,0,Standard
DR. DRE,9.5,3,2,2,0,All types
JUDAS PRIEST,9.5,12,5,1,0,Standard
MEN AT WORK,9.5,3,2,2,0,Standard
