,Artist ,Certified Units ,,,,
(In Millions),Gold ®,Platinum ®,Multi-Platinum ™,Diamond ®,Type ,
THREE DAYS GRACE,6,3,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TRAVIS SCOTT,6,3,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WAR,6,10,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WILSON PHILLIPS,6,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
112,5.5,4,3,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ASIA,5.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLACKSTREET,5.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CARMAN,5.5,9,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHARLEY PRIDE,5.5,11,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHRISTOPHER CROSS,5.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
COLLIN RAYE,5.5,6,5,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DC TALK,5.5,6,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DEANA CARTER,5.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DEBBIE GIBSON,5.5,3,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DIAMOND RIO,5.5,8,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DJ JAZZY JEFF & FRESH PRINCE,5.5,5,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EDDIE MONEY,5.5,5,4,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GARY ALLAN,5.5,8,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GINUWINE,5.5,4,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JACK JOHNSON,5.5,5,4,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JASON MRAZ,5.5,4,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KRIS KROSS,5.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LANA DEL REY,5.5,5,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LEE ANN WOMACK,5.5,5,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LOS TIGRES DEL NORTE,5.5,10,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARC ANTHONY,5.5,6,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MAXWELL,5.5,5,4,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MERLE HAGGARD,5.5,8,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MITCH MILLER & THE GANG,5.5,11,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
N.W.A.,5.5,4,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PHISH,5.5,9,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROB ZOMBIE,5.5,4,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SANDI PATTI,5.5,8,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SARA EVANS,5.5,6,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHINEDOWN,5.5,6,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SMASH MOUTH,5.5,3,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SUGAR RAY,5.5,3,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE THREE TENORS,5.5,5,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THIRD DAY,5.5,9,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
YOUNG JEEZY,5.5,5,4,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
A BOOGIE WIT DA HOODIE,5,4,4,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ADAM SANDLER,5,4,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALAN PARSONS PROJECT,5,7,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALL-4-ONE,5,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ASHANTI,5,3,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AVENGED SEVENFOLD,5,5,5,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BANGLES,5,3,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BELL BIV DEVOE,5,3,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BILLIE EILISH,5,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLONDIE,5,4,4,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOW WOW,5,5,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
C&C MUSIC FACTORY,5,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CAMEO,5,9,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHARLIE RICH,5,3,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHRIS TOMLIN,5,8,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CLAY WALKER,5,6,4,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
COMMODORES,5,7,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DIANA KRALL,5,7,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DIERKS BENTLEY,5,8,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DJ KHALED,5,4,4,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EN VOGUE,5,3,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FERGIE,5,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FIVE FINGER DEATH PUNCH,5,7,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GEORGE THOROGOOD & THE DESTROYERS,5,8,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GIN BLOSSOMS,5,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HARRY STYLES,5,3,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAY-Z & KANYE WEST,5,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOE,5,4,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
K-CI & JOJO,5,3,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KESHA,5,4,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LITTLE RIVER BAND,5,5,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LUKE COMBS,5,2,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MACKLEMORE & RYAN LEWIS,5,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MASE,5,3,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MILEY CYRUS,5,3,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MILEY CYRUS AS HANNAH MONTANA,5,2,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MYSTIKAL,5,5,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
QUINCY JONES,5,6,4,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHAWN MENDES,5,3,3,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE BLACK KEYS,5,4,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE CLASH,5,5,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE FRAY,5,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE JACKSONS,5,5,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TIFFANY,5,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TOM JONES,5,10,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VANESSA WILLIAMS,5,4,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VINCE GUARALDI TRIO,5,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
A TRIBE CALLED QUEST,4.5,6,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AL JARREAU,4.5,7,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ANNIE LENNOX,4.5,3,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ARRESTED DEVELOPMENT,4.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AUDIOSLAVE,4.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BIG & RICH,4.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BIG SEAN,4.5,4,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BRUCE HORNSBY & THE RANGE,4.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CANDLEBOX,4.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHARLOTTE CHURCH,4.5,4,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHRIS YOUNG,4.5,6,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CONWAY TWITTY,4.5,8,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CREAM,4.5,7,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DIANA ROSS,4.5,7,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ELLIE GOULDING,4.5,4,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FIONA APPLE,4.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FLORIDA GEORGIA LINE,4.5,4,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GOOD CHARLOTTE,4.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HANK WILLIAMS,4.5,5,4,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
IRON BUTTERFLY,4.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JEFF BECK,4.5,7,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JEFFERSON AIRPLANE,4.5,7,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JO DEE MESSINA,4.5,5,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOSH TURNER,4.5,5,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KEVIN GATES,4.5,5,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KIDZ BOP KIDS,4.5,9,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LAKE EMERSON & PALMER,4.5,9,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL UZI VERT,4.5,4,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL' JON & THE EASTSIDE BOYZ,4.5,3,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LOGIC,4.5,6,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LUIS MIGUEL,4.5,6,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARILYN MANSON,4.5,6,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARK CHESNUTT,4.5,5,4,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MAZE FEAT. FRANKIE BEVERLY,4.5,9,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MOLLY HATCHET,4.5,4,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
P.O.D.,4.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PAPA ROACH,4.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PARLIAMENT,4.5,7,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
POINT OF GRACE,4.5,7,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PUBLIC ENEMY,4.5,6,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RAFFI,4.5,7,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RICK SPRINGFIELD,4.5,5,4,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROY ORBISON,4.5,7,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SAMMY KERSHAW,4.5,6,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SCARFACE,4.5,6,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEPPENWOLF,4.5,8,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SWV,4.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TAYLOR DAYNE,4.5,3,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE CHAINSMOKERS,4.5,5,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE KILLERS,4.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE MARSHALL TUCKER BAND,4.5,7,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE TRAVELING WILBURYS,4.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE WALLFLOWERS,4.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THIRTY-EIGHT SPECIAL (.38),4.5,5,4,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THOMAS RHETT,4.5,4,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TONY! TONI! TONE!,4.5,4,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TREY SONGZ,4.5,6,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WARRANT,4.5,3,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WHITE ZOMBIE,4.5,3,2,2,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WIZ KHALIFA,4.5,4,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AARON CARTER,4,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ASHLEE SIMPSON,4,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BARBRA STREISAND & KRIS KRISTOFFERSON,4,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BARNEY,4,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLIND MELON,4,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLUE OYSTER CULT,4,6,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BREAKING BENJAMIN,4,5,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BROTHERS JOHNSON,4,4,4,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CAKE,4,3,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHRIS ISAAK,4,4,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CIARA,4,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CRYSTAL GAYLE,4,6,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DEMI LOVATO,4,6,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DIO,4,4,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DIONNE WARWICK,4,7,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EMMYLOU HARRIS,4,8,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EUROPE,4,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EVERCLEAR,4,3,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
G-EAZY,4,3,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GAP BAND,4,5,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GREAT WHITE,4,4,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GUCCI MANE,4,7,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HARRY CHAPIN,4,4,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
IL DIVO,4,5,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAGGED EDGE,4,4,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JANE'S ADDICTION,4,4,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JARS OF CLAY,4,4,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHN FOGERTY,4,5,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHN WILLIAMS,4,7,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JON SECADA,4,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JUDY COLLINS,4,6,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KODAK BLACK,4,5,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL' KIM,4,3,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LITTLE TEXAS,4,4,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MAKAVELI,4,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MANA,4,6,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MEGHAN TRAINOR,4,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MONTGOMERY GENTRY,4,5,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MORGAN WALLEN,4,2,2,2,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NE-YO,4,3,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PAM TILLIS,4,5,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PENTATONIX,4,4,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
POLO G,4,3,3,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RICHARD PRYOR,4,6,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RIGHTEOUS BROTHERS,4,5,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROBERT PALMER,4,3,3,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SAM HUNT,4,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SKILLET,4,4,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE LUMINEERS,4,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE PRETENDERS,4,6,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TRACY BYRD,4,5,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TWISTED SISTER,4,3,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VILLAGE PEOPLE,4,5,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WARREN G,4,3,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
8 BALL & MJG,3.5,4,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
A$AP ROCKY,3.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AARON NEVILLE,3.5,4,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AARON TIPPIN,3.5,6,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
B.O.B.,3.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BACHMAN-TURNER OVERDRIVE,3.5,6,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BRYSON TILLER,3.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BTS,3.5,4,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHEVELLE,3.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHINGY,3.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHIPMUNKS,3.5,5,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHUCK MANGIONE,3.5,4,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CLAY AIKEN,3.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
COLOR ME BADD,3.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
COOLIO,3.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DANE COOK,3.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVID LEE ROTH,3.5,4,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVID SANBORN,3.5,7,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DOKKEN,3.5,4,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DOUG STONE,3.5,5,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DRU HILL,3.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EDDIE MURPHY,3.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ELVIS COSTELLO,3.5,5,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EVE,3.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FABOLOUS,3.5,5,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FIFTH DIMENSION,3.5,7,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FLORENCE & THE MACHINE,3.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FRED HAMMOND,3.5,4,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GERALD LEVERT,3.5,4,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GLADYS KNIGHT & THE PIPS,3.5,7,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GLEE CAST,3.5,5,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GLENN MILLER ORCHESTRA,3.5,6,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HEAVY D & THE BOYZ,3.5,4,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HINDER,3.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HOOBASTANK,3.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HOZIER,3.5,2,1,1,0,All types
